python3 featureextract.py 
{'slip': 0.2572588132532267, 'pose': (-2.3434075205827263, 0.5819980322419076)}
{'slip': 0.2379347166425715, 'pose': (-2.3315104667891795, 0.5812987710817583)}
{'slip': 0.23578050208253212, 'pose': (-2.3179808097198085, 0.5817614707621078)}
{'slip': 0.21994146139125254, 'pose': (-2.3025763686996985, 0.583363561232736)}
{'slip': 0.2145247903787748, 'pose': (-2.286306727067494, 0.5855278535661278)}
{'slip': 0.2059036697736809, 'pose': (-2.270919712265958, 0.5883627384868051)}
{'slip': 0.1962603971281618, 'pose': (-2.2487208969981625, 0.5928360789562295)}
{'slip': 0.19288128958635545, 'pose': (-2.2278596851140318, 0.597762696992904)}
{'slip': 0.18424687553203503, 'pose': (-2.2061013126474958, 0.6033859675813895)}
{'slip': 0.178552136926025, 'pose': (-2.1830791891546903, 0.6098477983516725)}
{'slip': 0.17343298653609185, 'pose': (-2.1593392526153163, 0.6170222023469485)}
{'slip': 0.16905953930817144, 'pose': (-2.1343565636033572, 0.6251435514610699)}
{'slip': 0.1617139870013451, 'pose': (-2.109026035442452, 0.6338347731484979)}
{'slip': 0.16252776487041032, 'pose': (-2.082671265072776, 0.6434999235834062)}
{'slip': 0.15306248776585518, 'pose': (-2.055928578212264, 0.6538488313696118)}
{'slip': 0.15559058597667513, 'pose': (-2.0287722287876737, 0.6648631468347875)}
{'slip': 0.1491458304864597, 'pose': (-2.0009990871631493, 0.6768935083261891)}
{'slip': 0.1484182985057712, 'pose': (-1.9733558021312647, 0.6892289048445349)}
{'slip': 0.14851219247399874, 'pose': (-1.9451408452278425, 0.7027193188570721)}
{'slip': 0.14340214914605334, 'pose': (-1.917189599167884, 0.716505012296865)}
{'slip': 0.1474479025257372, 'pose': (-1.8891015816457746, 0.7311293625653539)}
{'slip': 0.14316104940644803, 'pose': (-1.8611192145645852, 0.7464175891856729)}
{'slip': 0.1443611829315549, 'pose': (-1.8334643271314561, 0.7621524285307437)}
{'slip': 0.14498403965311074, 'pose': (-1.8059587564798747, 0.7787283281138762)}
{'slip': 0.14302834172989012, 'pose': (-1.7787986504691218, 0.795997464191953)}
{'slip': 0.14181720816403964, 'pose': (-1.7521163417285597, 0.8137681375329238)}
{'slip': 0.15449121664264615, 'pose': (-1.7256954300952132, 0.8325108956032566)}
